日付,code,株数,株価
2026-02-16,2196,700,168
2026-02-16,2196,6400,168
2026-02-16,2196,200,169
2026-02-16,2196,700,167
2026-02-16,2196,4000,167
2026-02-16,2196,1600,168
2026-02-16,2196,1000,167
2026-02-16,2196,200,166
2026-02-16,2196,4700,167
2026-02-16,8035,72,41780
2026-02-16,3034,300,1947
2026-02-16,3034,100,1945
2026-02-16,3034,1000,1946
2026-02-16,1570,50,55570
2026-02-17,2196,600,168
2026-02-17,2196,2500,168
2026-02-17,2196,1400,168
2026-02-17,2196,1300,168
2026-02-17,2196,2900,168
2026-02-17,2196,500,168
2026-02-17,2196,400,168
2026-02-17,2196,1400,168
2026-02-17,2196,1800,168
2026-02-18,2196,400,169
2026-02-18,2196,3600,169
2026-02-18,2196,200,169
2026-02-18,2196,200,169
2026-02-18,2196,400,169
2026-02-18,2196,700,169
2026-02-18,2196,2500,169
2026-02-18,2196,200,169
2026-02-18,2196,1000,169
2026-02-18,2196,300,169
2026-02-18,1570,100,54320
2026-02-19,2196,1800,166
2026-02-19,2196,1700,167
2026-02-19,2196,1800,167
2026-02-19,2196,1600,169
2026-02-25,2196,1800,167
2026-02-25,2196,400,167
2026-02-25,2196,500,167
2026-02-25,1570,207,57780
2026-02-26,2196,400,168
2026-02-26,2196,3600,168
2026-02-26,2196,2700,168
2026-02-26,2196,1800,168
2026-02-26,2196,100,168
2026-02-26,2196,300,168
2026-02-26,2196,3600,168
2026-02-26,2196,200,168
2026-02-26,2196,1800,168
2026-03-02,2196,7800,165
2026-03-03,1570,20,54240
2026-03-04,2471,500,250
2026-03-04,2471,300,249.9
2026-03-04,2471,300,249.9
2026-03-04,2471,300,249.9
2026-03-04,2471,100,250
2026-03-04,2681,200,1697
2026-03-04,2763,200,1246
2026-03-04,3034,100,1832
2026-03-04,3093,100,1770
2026-03-04,3176,200,1697
2026-03-04,3498,100,6750
2026-03-04,3962,400,948
2026-03-04,414A,100,969
2026-03-04,4494,200,742
2026-03-04,4996,300,693
2026-03-04,5903,100,1213
2026-03-04,6125,100,4420
2026-03-04,6239,100,1440
2026-03-04,6378,100,1318
2026-03-04,6378,200,1321
2026-03-04,6899,100,2441
2026-03-04,6966,500,762
2026-03-04,6966,1000,762
2026-03-04,8103,300,849.1
2026-03-04,8306,300,2620
2026-03-04,8309,100,4956
2026-03-04,8316,100,5199
2026-03-04,8729,1000,149.6
2026-03-05,4494,400,759
2026-03-06,6594,100,2309
2026-03-06,8103,3500,889
2026-03-09,3498,100,6930
2026-03-09,6594,200,2158
2026-03-09,8306,100,2591
2026-03-09,1570,44,45610
2026-03-09,1570,18,45260
2026-03-09,1570,20,45640
2026-03-09,1570,9,44610
2026-03-10,1570,14,48300
2026-03-12,3034,100,1793
2026-03-12,3093,100,1783
2026-03-12,3498,100,6990
2026-03-12,414A,100,1003
2026-03-12,6966,500,681
2026-03-12,7033,100,1371
2026-03-12,8306,100,2650
2026-03-12,1570,2,49220
2026-03-12,1570,24,49220
2026-02-16,8035,100,41780
2026-02-16,9418,1,1866
2026-02-16,9160,2600,316
2026-02-16,9160,1900,318
2026-02-16,9160,100,318
2026-02-16,9160,2000,319
2026-02-16,9160,200,319
2026-02-16,9160,600,319
2026-02-16,9160,500,319
2026-02-16,9160,200,320
2026-02-16,9160,700,318
2026-02-16,9160,1400,317
2026-02-16,9160,700,319
2026-02-16,1570,50,55570
2026-02-17,9160,800,317
2026-02-17,9160,700,318
2026-02-17,9160,600,318
2026-02-17,9160,1000,318
2026-02-17,9160,200,319
2026-02-17,9160,200,318
2026-02-17,9160,300,319
2026-02-17,9160,1400,318
2026-02-17,9160,300,319
2026-02-17,9160,1600,319
2026-02-18,9160,1200,319
2026-02-18,9160,200,322
2026-02-18,9160,100,322
2026-02-18,9160,1200,321
2026-02-18,9160,1900,319
2026-02-18,9160,500,321
2026-02-18,9160,100,318
2026-02-18,9160,1000,319
2026-02-18,1570,100,54320
2026-02-19,9160,2000,316
2026-02-19,9160,1000,316
2026-02-25,6209,100,4405
2026-02-25,7467,100,3895
2026-02-25,9160,500,315
2026-02-25,9160,1000,315
2026-02-25,1570,207,57780
2026-02-25,1570,24,58180
2026-02-26,9160,1100,318
2026-02-26,9160,1000,317
2026-02-26,9160,2000,317
2026-02-26,9160,2000,317
2026-02-26,9160,2000,317
2026-02-27,6378,500,1472
2026-02-27,6966,600,875
2026-03-02,9160,4300,311
2026-03-03,9338,100,4545
2026-03-03,9338,1400,4540
2026-03-04,2687,2200,480
2026-03-04,2687,100,483
2026-03-04,2687,500,483
2026-03-04,2687,500,483
2026-03-04,2687,300,482
2026-03-04,2687,1300,481
2026-03-04,2687,500,482
2026-03-04,4494,300,742
2026-03-04,4494,200,745
2026-03-04,5816,200,1630
2026-03-04,6062,100,1335
2026-03-04,6594,100,2442
2026-03-04,6966,1000,762
2026-03-04,7033,200,1406
2026-03-04,9639,100,2249
2026-03-05,3498,100,7240
2026-03-05,4996,4300,714
2026-03-05,6062,100,1377
2026-03-05,6378,100,1522
2026-03-05,6378,200,1467
2026-03-05,8306,100,2778
2026-03-05,9513,100,3791
2026-03-06,3093,100,1843
2026-03-06,414A,200,1043
2026-03-06,8103,3500,889
2026-03-06,1570,3,51450
2026-03-09,5903,800,1211
2026-03-09,1570,22,46460
2026-03-10,3498,100,7220
2026-03-10,6594,100,2250
2026-03-10,8306,100,2741
2026-03-10,1570,20,49490
2026-03-10,1570,15,49490
2026-03-10,1570,7,48980
2026-03-11,1570,27,51610
2026-03-12,4996,200,734
2026-03-12,5816,100,1762
2026-03-12,1570,2,49430
